url,pdate,description,title
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-09 22:44,"
# matlab小序 #  MALAB译于矩阵实验室MATrix LABoratory是用来提供通往LINPACK 和 EISPACK 矩阵软件包接口的，后来，它渐渐发展成了通用科技计算图视交互系统和程序语言。
MATLAB 的基本数据单位是矩阵 它的指令表达与数学 工程中常用的习惯形式十分相似 比如 矩阵方程 Ax=b 在 MATLAB 中被写成 A*x=b 而若要通过 A,b 求 x 那么只要写...        ","
        Matlab学习（一）            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-09 22:42,"
需求最近突然有朋友对投票刷票有需求，正好自己空了下来，就帮他写了个简单的多线程投票脚本。因为不想考虑过多的session、cookie以及post data，所以直接使用了自动化工具Selenium简单地说，Selenium就是一个通过执行预先设置的Browser的指令，解放双手，提高工作效率。不同于通用的流行python网络模块，Selenium更像是市面上流行的按键精灵类似的软件，通过设定特定的...        ","
        简单刷票            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-03 11:07,"
引入在有向图G中，如果两个顶点间至少存在一条路径，称两个顶点强连通(strongly connected)。如果有向图G的每两个顶点都强连通，称G是一个强连通图。非强连通图有向图的极大强连通子图，称为强连通分量(strongly connected components)。下图中，子图{1,2,3,4}为一个强连通分量，因为顶点1,2,3,4两两可达。{5},{6}也分别是两个强连通分量。tarja...        ","
        tarjan算法求强连通分量            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-06-30 21:00,"
模板生成问题描述成成最近在搭建一个网站，其中一些页面的部分内容来自数据库中不同的数据记录，但是页面的基本结构是相同的。例如，对于展示用户信息的页面，当用户为 Tom 时，网页的源代码是而当用户为 Jerry 时，网页的源代码是这样的例子在包含动态内容的网站中还有很多。为了简化生成网页的工作，成成觉得他需要引入一套模板生成系统。 　模板是包含特殊标记的文本。成成用到的模板只包含一种特殊标记，格式为 {...        ","
        2015.9CCF认证试题（2）            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-06-30 21:00,"
给定一个整数数列，数列中连续相同的最长整数序列算成一段，问数列中共有多少段？ 
  输入格式 
  输入的第一行包含一个整数n，表示数列中整数的个数。 
  第二行包含n个整数a1, a2, …, an，表示给定的数列，相邻的整数之间用一个空格分隔。输出格式
输出一个整数，表示给定的数列有多个段。 
- 样例输入88 8 8 0 12 12 8 0 
- 样例输出5
样例说明
8 8 8是第一段，0...        ","
        2015.9CCF认证试题（1）            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:34,"
数字共有七个，即I(1)，V(5)，X(10)，L(50)，C(100)，D(500)，M(1000)。按照下面的规则可以表示任意正整数。


重复数次：一个罗马数字重复几次，就表示这个数的几倍。 右加左减：在一个较大的罗马数字的右边记上一个较小的罗马数字，表示大数字加小数字。在一个较大的数字的左边记上一个较小的罗马数字，表示大数字减小数字。但是，左减不能跨越等级。比如，99不可以用IC表示...        ","
        罗马数字规则            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:32,"
原文：  http://gitbook.liuhui998.com/3_3.htmlhttp://gitbook.liuhui998.com/5_3.html一、如何分支的合并在git中，可以使用git merge 和git rebase两个命令来进行分支的合并。git merge 和git rebase在大体上都差不多，下文主要以git merge来例来讲解分支的合并流程。如果你想了解分支合并的...        ","
        分支与合并            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:30,"
使用了Notification下的setLatestEventInfo()方法时，Eclipse却提示：“ 不建议使用类型 Notification 的方法 setLatestEventInfo（Context, CharSequence, CharSequence, PendingIntent）”！

    这是为什么呢？查询后得知：setLatestEventInfo该方法已被depre...        ","
        Notification方法更新            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:39,"
NoC的拓扑结构必须保证每个节点可以发送数据包到其他节点。当没有完善的拓扑结构的时候，路由算法决定数据包从原地址开始选择那一条路径到目的地址。所以，有效的数据算法对NoC网路性能的好坏是至关重要的。路由算法可以按照不同的标准分为不同的几类。比如说源路由（SOurce Routing）和分布式路由（Distrubuted Routing），确定路由（Deterministic Routng）和自适应路...        ","
        NoC路由算法            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:27,"
什么是MIME类型-在把输出结果传送到浏览器上的时候，浏览器必须启动是党的应用程序来处理这个输出文档。这可以通过多种类型MIME（多功能网际邮件扩充协议）来完成。在HTTP中，MIME类型被定义在Content-Type header中。

例如，架设你要传送一个Microsoft Excel文件到客户端。那么这时的MIME类型就是“application/vnd.ms-excel”。在大多数...        ","
        Content Provider之MIME类型            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:26,"
context不是函数而是一个类——如果不太了解面向对象，可以把“类”看做一种数据类型，就像int，不过类型为“类”的数据（称为对象）可能储存远比int多的信息，比如这里的类型为Context的对象就储存关于程序、窗口的一些资源。
 
 
 
有些函数调用时需要一个Context参数，比如Toast.makeText，因为函数需要知道是在哪个界面中显示的Toast。
 
再比如，But...        ","
        Android之Context、this            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:25,"
一、首先，让我们确认下什么是service？ 
        service就是android系统中的服务，它有这么几个特点：它无法与用户直接进行交互、它必须由用户或者其他程序显式的启动、它的优先级比较高，它比处于前台的应用优先级低，但是比后台的其他应用优先级高，这就决定了当系统因为缺少内存而销毁某些没被利用的资源时，它被销毁的概率很小哦。 
二、那么，什么时候，我们需要使用service呢...        ","
        Android开发Service            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:24,"
目前，发送短消息常用Text和PDU(Protocol Data Unit，协议数据单元)模式。使用Text模式收发短信代码简单，实现起来十分容易，但最大的缺点是不能收发中文短信；而PDU模式不仅支持中文短信，也能发送英文短信。PDU模式收发短信可以使用3种编码：7-bit、8-bit和UCS2编码。7-bit编码用于发送普通的ASCII字符，8-bit编码通常用于发送数据消息，UCS2编码用于发...        ","
        短信--Text与PDU            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:23,"
1. Action/Service/DAO简介：

      Action是管理业务（Service）调度和管理跳转的。

      Service是管理具体的功能的。

      Action只负责管理，而Service负责实施。

      DAO只完成增删改查，虽然可以1-n，n-n，1-1关联，模糊、动态、子查询都可以。但是无论多么复杂的查询，dao只是封装增删改查...        ","
        Action/Service/DAO            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:22,"
互联网在近10年的得到飞速发展，互联网正在逐渐深入人们的生活，改变人们的生活。互联网经济也经历了风风雨雨，从缓慢起步到急速膨胀，从泡沫破灭到逐步回暖；从“网络广告”到“拇指经济”，从“网络游戏”到“搜索力经济”。目前，搜索引擎成为最受人们关注的焦点之一，也成为亿万富翁的制造摇篮。越来越多的公司都希望在搜索引擎这座金矿中挖到筐金子，其中许多人会选择拥有自己的搜索引擎。国内著名搜索引擎公司百度（htt...        ","
        搜索引擎综述            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:21,"
我们依次看看这十一种传感器

 

1 加速度传感器

加速度传感器又叫G-sensor，返回x、y、z三轴的加速度数值。

该数值包含地心引力的影响，单位是m/s^2。

将手机平放在桌面上，x轴默认为0，y轴默认0，z轴默认9.81。

将手机朝下放在桌面上，z轴为-9.81。

将手机向左倾斜，x轴为正值。

将手机向右倾斜，x轴为负值。

将手机向上倾斜...        ","
        Android手机传感器介绍            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:20,"
Android之Handler用法总结


方法一：(java习惯，在android平台开发时这样是不行的，因为它违背了单线程模型）

刚刚开始接触android线程编程的时候，习惯好像java一样，试图用下面的代码解决问题   

new Thread( new Runnable() {     

    public void run() {     

         my...        ","
        Android之Handler用法总结            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:18,"
Looper类说明

 　　Looper 类用来为一个线程跑一个消息循环。

 

　　线程在默认情况下是没有消息循环与之关联的，Thread类在run()方法中的内容执行完之后就退出了，即线程做完自己的工作之后就结束了，没有循环的概念。

 

　　调用Looper类的 prepare() 方法可以为当前线程创建一个消息循环，调用loop() 方法使之处理信息，直到循环结束。...        ","
        Android OS--Looper、Thread、Handler            
        "
http://blog.csdn.net/peihaozhu/article/list/8,2015-11-29 16:17,"
基本用法： 
1)存数据： 
//第一个参数是文件名，不需要加.xml后缀，如果文件不存在，系统会自动生成。 
//文件路径为：/data/data//shared_prefs/xxx.xml 


SharedPreferences sp = getSharedPreferences(""loginsetting"", MODE_PRIVATE);
String name = sp.ge...        ","
        SharedPreference用法            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-16 14:08,"
Torrent小记由于某些众所周知的原因，我对torrent文件(也就是我们常说的种子文件)产生了浓厚的兴趣，这里是官方百科对torrent文件的定义：torrent文件本质上是文本文件，包含Tracker信息和文件信息两部分。Tracker信息主要是BT下载中需要用到的Tracker服务器的地址和针对Tracker服务器的设置，文件信息是根据对目标文件的计算生成的，计算结果根据BitTorrent...        ","
        torrent文件编码            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:38,"
在Python中，bytes和string是不同的东西。由一系列不可改变的Unicode字符组成的叫string。而一系列不可改变的介于0-255之间的数字被称为bytes对象。 unicode是一种编码标准，具体的实现标准可能是utf-8，utf-16，gbk ……python 在内部使用两个字节来存储一个unicode，使用unicode对象而不是str的好处，就是unicode方便于跨平台。U...        ","
        Python中的str与bytes            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:37,"
VC与WormHole的对比虚信道路由器通过引入虚信道技术，将一个物理信道分成逻辑上的多个虚信道。多个虚信道对物理信道分时复用，通过对虚信道的合理调度，当网络中发生数据分组阻塞时，阻塞的分组被缓存在某一条虚信道的缓存中，其它分组能够使用其它的虚信道继续进行传输。虚信道路由器是对基本虫孔路由器的改进，它解决了虫孔路由器的阻塞问题，能够提高物理信道的利用率，显著增加片上网络的性能。虚信道路由器需要为每条...        ","
        虚信道路由            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:36,"
matplotlib 是python最著名的绘图库，它提供了一整套和matlab相似的命令API，十分适合交互式地进行制图。而且也可以方便地将它作为绘图控件，嵌入GUI应用程序中。它的文档相当完备，并且 Gallery页面 中有上百幅缩略图，打开之后都有源程序。因此如果你需要绘制某种类型的图，只需要在这个页面中浏览/复制/粘贴一下，基本上都能搞定。在Linux下比较著名的数据图工具还有gnuplot...        ","
        Matplotlib快速绘图（2）            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:35,"
上图是一副常规的NoC Router结构图。FC指Flow Control流控机制，数据交换逻辑将开关分配单元仲裁结果进行链接，也就是将输入端口的FIFO与它请求的输出端口链接行程传输通道。FIFO，缓存，或者说当前的缓存主要使用的技术就是FIFO，first in first out的队列缓冲。魂村是片上网络路由器中必不可少的单元，用于存储数据。目前的路由器中缓存与交叉开关存在3中相对位置关系：...        ","
        缓存与XY路由算法            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:34,"
目前，网络中出现了一些不和谐因素，某些网站多次剽窃Hexo博友的原创文章。在对这些侵犯博友权益的网站提出谴责的同时，聪明的各位Geek们应该如何增强版权意识呢.最简单的办法就是在自己的部落格文章里添加水印，即使这些网站通过爬虫私自收录我们的文章，读者也能在文章中轻易的发现原作者。由于这种办法容易影响读者的阅读体验，我采用的是在每篇文章下面增加版权声明，将本篇文章的信息、初次刊登网站、作者信息追加进文...        ","
        Hexo-文章版权追加            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:31,"
模拟退火算法概述模拟退火算法来源于固体退火原理，将固体加温至充分高，再让其徐徐冷却，加温时，固体内部粒子随温升变为无序状，内能增大，而徐徐冷却时粒子渐趋有序，在每个温度都达到平衡态，最后在常温时达到基态，内能减为最小。根据Metropolis准则，粒子在温度T时趋于平衡的概率为e-ΔE/(kT)，其中E为温度T时的内能，ΔE为其改变量，k为Boltzmann常数。用固体退火模拟组合优化问题，将内能E...        ","
        模拟退火            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:30,"
NoC的拓扑结构就是指NoC中各个节点的连接方式。通常NoC拓扑结构分为两类，一类是直接型网络拓扑，另一类是间接性网络拓扑。直接型在直接网络中，节点处理器（IP）直接地通过网络彼此连接。常见的直接型拓扑包括网状拓扑（Mesh）、花式拓扑（Torus）等。 
2D Mesh2D Mesh结构是一种最简单，最直观的拓扑结构，如图。每个节点连接一个资源和四个相邻的路由器，每个资源通过一个网络接口（Net-...        ","
        Noc拓扑            
        "
http://blog.csdn.net/peihaozhu/article/list/3,2016-04-25 15:10,"
ini 文件是Initialization File的缩写，即初始化文件，是windows的系统配置文件所采用的存储格式，统管windows的各项配置，一般用户就用windows提供的各项图形化管理界面就可实现相同的配置了。但在某些情况，还是要直接编辑ini才方便，一般只有很熟悉windows才能去直接编辑。开始时用于WIN3X下面，WIN95用注册表代替，以及后面的内容表示一个节，相当于注册表中的...        ","
        Java操作Ini文件            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-16 14:07,"
前言之前写过一篇文章校园网上网认证,是讲我在校园里通过python实现子的那个上网登录，后来我在这个基础上增加了账号密码存储功能。到这里可能大家又会想到这是上一篇的延续，实际上并不是。在那篇文章里面，我在尝试了几种网络模块之后选择了Requests，它基于urllib3，隐式的在内部实现了很多特性。在Selenium模拟测试教务数据这篇文章中，我说过，尝试了很长时间，一直不能通过python网络模块...        ","
        session教务数据            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-09 14:05,"
数据流建模之前的介绍中，我们已经初步了解到数据流描述方式，本节对数据流的建模方式进一步讨论，主要讲述连续赋值语句、阻塞赋值语句、非阻塞赋值语句，并针对一个系统设计频率计数器的实例进行讲解。连续赋值语句数据流的描述是采用连续赋值语句(assign )语句来实现的。语法如下： 
assign net_type = 表达式； 
连续赋值语句用于组合逻辑的建模。 等式左边是wire 类型的变量。等式右边可以...        ","
        Verilog小叙(三)            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-09 14:04,"
好的，接着上篇文章常量Verilog HDL中有三种常量： 
整型、实型、字符串型。 
下划线符号“_”可以随意用在整数或实数中，它们就数量本身没有意义。它们能用来提高易读性；唯一的限制是下划线符号不能用作为首字符。 
下面主要介绍整型和字符串型。整型整型数可以按如下两种方式书写： 
1. 简单的十进制数格式 
2. 基数格式简单的十进制格式这种形式的整数定义为带有一个可选的“+”（一元）或“－”（...        ","
        Verilog小叙(二)            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-09 14:03,"
前言当前业界的硬件描述语言中主要有VHDL 和Verilog HDL。根据当前ASIC/FPGA设计现有的特点、现状，Verilog HDL 语言已经成为决定的主导语言，使用Verilog HDL，可以统一ASIC/FPGA设计平台，简化流程。设计方法学数字电路设计方法当前的数字电路设计从层次上分可分成以下几个层次：
算法级设计：利用高级语言如C语言及其他一些系统分析工具（如MATLAB）对设计从系...        ","
        Verilog小叙(一)            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-08 22:54,"
前言Selenium是什么，看看Encyclopedia上的说明：Selenium是一个用于Web应用程序测试的工具。Selenium测试直接运行在浏览器中，就像真正的用户在操作一样。支持的浏览器包括IE(7、8、9)、Mozilla Firefox、Mozilla Suite、Google Chrome等。这个工具的主要功能包括：测试与浏览器的兼容性——测试你的应用程序看是否能够很好得工作在不同浏...        ","
        Selenium语法、解决frame问题以及速度分析            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-06 21:48,"
提起map和reduce想必大家并不陌生，Google公司2003年提出了一个名为MapReduce的编程模型，用于处理大规模海量数据，并在之后广泛的应用于Google的各项应用中，2006年Apache的Hadoop项目正式将MapReduce纳入到项目中。好吧，闲话少说，今天要介绍的是Python函数式编程中的另外两个内建函数map()和reduce()，而不是Google的MapReduce。...        ","
        Python中的map_reduce            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-06 21:46,"
这几天晕晕乎乎的，什么都不想干，窝在房间里面看电影。可是呢，这些年已经把太多好评如潮的电影塞进脑子里，又不想一个个的翻豆瓣、烂番茄再看每个影人的电影评分，这时候呢，需求是我码代码的推动力:)爬虫试试呗获取演员ID豆瓣有个电影栏目，通过在里面的编辑框输入想要搜索的演员名，然后搜索就可以找到对应的影人。大多数搜索服务的连接都是通过get，因为搜索功能不牵扯到过多的私密信息，所以可以绕过搜索框直接在url...        ","
        演员电影评分排序            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-02 12:01,"
Scrapy是一个为了爬取网站数据，提取结构性数据而编写的应用框架。 可以应用在包括数据挖掘，信息处理或存储历史数据等一系列的程序中。其最初是为了 页面抓取 (更确切来说, 网络抓取 )所设计的， 也可以应用在获取API所返回的数据(例如 Amazon Associates Web Services ) 或者通用的网络爬虫。本文档将通过介绍Scrapy背后的概念使您对其工作原理有所了解， 并确定Sc...        ","
        初窥Scrapy(Py3.x)            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-01 11:28,"
接着上一篇相关文章，还是说伯乐在线这个网站上有一个面向对象栏目。这次呢，不看妹子要求男生的身高问题，来瞧一瞧妹子在这个栏目上发帖子寻找soul mate的时间：）   实际上呢，网页信息是跟上次的一模一样，也就是说完全可以将上篇文章的网页代码保存在本地，设置好间隔符，通过不同的过滤规则获取相应的数据。下面是我的代码：  import requests
import re
import os
impo...        ","
        伯乐对象年龄爬虫            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-01 11:27,"
最近在朋友的博客里看到了一篇文章，是讲伯乐在线这个网站上有一个面向对象栏目。什么是面向对象呢，面向对象是一个专门为IT单身男女服务的征友传播平台,由伯乐在线专门为程序员爱情创立的一个公益+免费活动。简单来说，网站的女用户在这个栏目组发帖子，包括自己的相关信息，以及理想的男友条件，男生们可以付出一定代价获得女用户保存在网站上的个人联系方式，看对眼的话，就去领证:)    然后呢，我这个朋友关注的点不太...        ","
        伯乐身高爬虫            
        "
http://blog.csdn.net/peihaozhu/article/list/5,2016-03-01 11:26,"
pyquery库是jQuery的Python实现，可以用于解析HTML网页内容，使用方法：from pyquery import PyQuery as pq
可加载一段HTML字符串，或一个HTML文件，或是一个url地址，例：
d = pq(""hello"")
d = pq(filename=path_to_html_file)
d = pq(...        ","
        pyquery小记            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:29,"
如图是5端口虫孔路由器的结构，由5个输入端口、路由计算单元、开关分配单元、交叉开关和5个输出端口构成，其中4个端口与东、南、西、北4个方向的相邻路由器相连，剩下的是本地端口和IP核相连。虫孔路由器采用的是虫孔交换机制，同时使用缓存队列放置在输入端口的交换结构，输入缓存采用FIFO结构，缓存深度D表示输入缓存能够容纳的微片数目。工作过程虫孔路由器的工作工程如下，当头微片（head filt）到达路由器...        ","
        虫孔Router            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-04-03 17:29,"
Noc小记Noc是由Router和Channel组成的网络结构。其中router主要用来控制网络中数据传输，channel是连通片上系统中各处理核之间进行点对点数据传输的通路。NoC采用分组交换的方式进行通信，片上网络中各处理核之间通过发送请求和接收相应消息的方式通信。在网络中传输的消息由头（head）、传输数据和尾（tail）组成。投中包含接收方的地址信息，router根据这个地址建立从传输方到达...        ","
        NoC路由器架构            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-03-25 10:42,"
模块模块介绍
模块是Verilog HDL语言的基本单元，数字系统是用模块的形式来描述。
模块是描述某个设计的功能、结构和其他模块通信的外部端口。 Verilog HDL中的各个模块是并行运行的
模块可以调用其他模块的实例   
模块结构module ()
    端口说明（input，output，inout）
    参数定义（可选）
    数据类型定义//wire、re...        ","
        Verilog HDL笔记            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-03-22 15:06,"
模块（module）是Verilog 的基本描述单位，用于描述某个设计的功能或结构及与其他模块通信的外部端口。模块在概念上可等同一个器件就如我们调用通用器件（与门、三态门等）或通用宏单元（计数器、ALU、CPU）等，因此，一个模块可在另一个模块中调用。一个电路设计可由多个模块组合而成，因此一个模块的设计只是一个系统设计中的某个层次设计，模块设计可采用多种建模方式。小程序加法器module addr(...        ","
        Verilog入门实例            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-03-17 23:49,"
Matplotlibmatplotlib 是python最著名的绘图库，它提供了一整套和matlab相似的命令API，十分适合交互式地行制图。而且也可以方便地将它作为绘图控件，嵌入GUI应用程序中。优势作为python上最有名气的绘图库:
Matlab的语法 python语言
latex的画图质量
可以使用内嵌的latex引擎绘制的数学公式
快速绘图matplotlib实际上是一套面向对象的绘图库，...        ","
        Matplotlib快速绘图            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-03-17 23:45,"
NumpyNumPy系统是Python的一种开源的数值计算扩展。这种工具可用来存储和处理大型矩阵，比Python自身的嵌套列表（nested list structure)结构要高效的多（该结构也可以用来表示矩阵（matrix））。据说NumPy将Python相当于变成一种免费的更强大的MatLab系统。NumPy（Numeric Python）提供了许多高级的数值编程工具，如：矩阵数据类型、矢量处...        ","
        Python中的numpy            
        "
http://blog.csdn.net/peihaozhu/article/list/4,2016-03-16 14:09,"
写在前面接着上篇文章，torrent文件编码.在torrent文件编码这篇文章的开始我就说过，种子文件对于青年男士有着巨大的诱惑力。我也不例外，由于国内文化教育方面抓的比较紧，所以某些领域的文件信息无法通过种子文件离线下载、进入高速通道。这个实现的原理很简单，直接通过扫描种子文件的tracker、服务器地址显然不可取，那就遍历torrent包含的文件名吧，这些文件往往会有很多露骨的字眼，净网行动进行...        ","
        洗白BT文件            
        "
http://blog.csdn.net/peihaozhu/article/list/3,2016-04-23 21:37,"
最长递增子序列系列是DP动态规划中简单、经典的入门题目。类似最长非递减子序列、导弹拦截问题、最长公共子序列问题等等。这在我们逐渐了解、认知动态规划的过程中可以给我们提高很大的帮助。
  
  设有由n个不相同的整数组成的数列，记为:a[0]、a[1]、……、a[n-1]且a(i)<>a(j) (i<>j)
例如{2,3,4,5,6,343,5,36,45,64,56,564}
  若存在i1问题的引...        ","
        DP介绍-最长递增子序列            
        "
http://blog.csdn.net/peihaozhu/article/list/3,2016-04-22 23:38,"
动态规划(dynamic programming)是运筹学的一个分支，是求解决策过程(decision process)最优化的数学方法。20世纪50年代初美国数学家R.E.Bellman等人在研究多阶段决策过程(multistep decision process)的优化问题时，提出了著名的最优化原理(principle of optimality)，把多阶段过程转化为一系列单阶段问题，利用各阶段...        ","
        DP动态规划介绍            
        "
http://blog.csdn.net/peihaozhu/article/list/3,2016-04-21 23:59,"
最近好多朋友、同学陆陆续续开始了他们的毕设阶段，得益于国内蓬勃爆炸发展的移动终端产业，有相当一部分小伙伴们的课题都是基于android platform这个世界占比最大的开源移动操作系统app开发。他们也陆陆续续遇到了新的问题。恰好我曾经作为初学者遇到过相同的问题，我将这些问题记录下来，希望可以分享我的知识、经验与见解。Android SDK更新由于国内Google的IP受到GFW限制，所以无法通过...        ","
        Android Sdk获取更新            
        "
http://blog.csdn.net/peihaozhu/article/list/3,2016-04-21 23:58,"
本篇文章是洗白种子文件的兄弟篇，也是为了安利一个宅男宅女极好的网站–汤不热.Tumblr（中文名：汤博乐）成立于2007年，是目前全球最大的轻博客网站，也是轻博客网站的始祖。Tumblr（汤博乐）是一种介于传统博客和微博之间的全新媒体形态，既注重表达，又注重社交，而且注重个性化设置，成为当前最受年轻人欢迎的社交网站之一。雅虎公司董事会2013年5月19日决定，以11亿美元收购Tumblr。tumbl...        ","
        宅福利-Tumblr视频图片            
        "
